tenure_months,usage_frequency,payment_method,complaints,discount_used_pct,plan_type,monthly_charges,churn
14,9,Wallet,2,22,Free,99,0
7,12,UPI,0,12,Free,99,0
9,5,UPI,0,16,Free,199,0
15,6,Card,0,30,Free,299,0
15,8,Card,0,15,Basic,299,0
10,11,UPI,2,40,Free,99,0
13,5,UPI,2,25,Free,199,0
19,6,UPI,1,27,Basic,199,0
7,7,Wallet,1,0,Basic,99,0
17,10,Wallet,0,46,Basic,199,0
20,7,Card,2,11,Basic,199,0
4,8,Wallet,1,36,Premium,99,0
5,9,Wallet,1,54,Basic,99,1
23,7,UPI,2,55,Basic,99,0
7,7,COD,1,49,Premium,199,0
13,8,Wallet,0,19,Premium,99,0
15,11,UPI,3,1,Basic,99,1
11,12,UPI,0,35,Basic,99,0
4,8,UPI,1,14,Free,99,0
13,11,UPI,1,37,Basic,99,0
7,5,Wallet,1,21,Premium,299,0
19,10,Card,0,43,Basic,99,0
22,9,Wallet,0,60,Premium,199,1
2,9,Wallet,1,49,Basic,99,0
10,7,Card,0,31,Premium,199,0
13,9,Card,1,58,Basic,199,1
21,12,UPI,1,19,Free,99,0
6,7,UPI,0,35,Basic,299,0
12,10,Card,1,32,Free,199,0
12,7,UPI,0,14,Free,299,0
20,4,UPI,0,49,Premium,199,1
11,9,Wallet,1,45,Free,299,0
23,4,Card,1,2,Basic,199,0
7,7,UPI,0,28,Free,299,0
1,15,Card,1,46,Free,199,1
1,10,Wallet,1,26,Premium,199,0
20,5,UPI,1,4,Free,199,0
13,7,UPI,1,58,Basic,299,0
9,3,COD,0,55,Basic,299,1
3,3,UPI,0,30,Basic,99,1
7,8,UPI,0,21,Premium,199,0
6,9,Card,0,34,Basic,99,0
8,8,Wallet,1,53,Basic,199,1
9,4,UPI,2,6,Premium,99,0
5,6,UPI,0,5,Free,99,1
1,7,UPI,1,25,Basic,299,0
19,7,COD,1,53,Premium,99,1
10,4,UPI,0,0,Basic,199,0
12,5,Card,1,18,Premium,199,0
24,13,COD,2,6,Basic,99,0
15,11,UPI,0,35,Premium,99,0
22,4,COD,1,11,Premium,199,0
24,8,COD,0,19,Free,99,0
9,6,Wallet,1,22,Free,299,0
20,4,UPI,0,24,Basic,299,0
17,5,Card,0,29,Basic,99,0
17,12,Wallet,1,58,Free,99,0
20,9,COD,1,60,Free,199,0
12,7,UPI,2,28,Free,199,0
7,11,Wallet,0,30,Premium,99,0
2,10,UPI,0,17,Basic,99,0
3,11,UPI,1,40,Basic,199,0
17,13,UPI,0,18,Free,299,0
5,9,Wallet,1,53,Free,99,1
17,7,Card,0,3,Free,199,0
24,5,Card,0,0,Free,299,0
17,8,COD,1,40,Premium,199,0
17,9,UPI,0,58,Premium,199,0
2,6,Card,0,14,Free,199,0
2,7,UPI,0,53,Free,299,1
22,7,UPI,1,7,Free,199,0
23,10,Card,1,14,Basic,299,0
5,10,COD,1,14,Free,199,0
1,6,Card,1,49,Free,199,1
1,4,Wallet,0,38,Free,99,1
19,4,UPI,2,21,Basic,99,0
2,4,UPI,1,17,Basic,199,0
21,9,Card,1,15,Basic,99,0
12,7,UPI,1,1,Free,199,0
6,11,UPI,0,35,Premium,99,0
23,8,Card,1,19,Premium,299,0
4,12,UPI,0,15,Free,99,0
23,10,UPI,1,2,Free,299,0
11,4,Card,0,55,Basic,199,0
24,3,Card,0,29,Free,99,1
17,5,COD,1,54,Basic,199,0
6,10,Card,2,1,Basic,99,0
24,5,UPI,2,34,Basic,99,0
5,4,COD,1,25,Free,99,1
20,10,Wallet,2,56,Basic,99,1
2,6,UPI,0,60,Premium,299,1
6,10,UPI,0,4,Free,99,0
22,11,Card,0,1,Basic,199,0
11,5,Card,0,50,Free,99,0
16,8,Wallet,2,55,Free,199,0
16,6,Wallet,2,19,Basic,99,0
1,9,Card,1,33,Free,199,0
9,11,COD,2,33,Free,199,0
6,13,Card,1,53,Free,199,0
16,4,UPI,0,55,Basic,99,1
3,8,Wallet,1,54,Basic,199,0
20,5,UPI,0,19,Free,99,0
4,11,Wallet,3,49,Basic,99,1
19,8,COD,0,24,Free,199,0
3,3,Card,1,19,Basic,199,0
19,10,Card,1,24,Basic,199,0
20,12,Card,4,52,Basic,199,1
7,7,UPI,2,13,Premium,99,0
20,8,UPI,1,59,Premium,99,0
9,2,Card,1,46,Free,99,1
1,6,Wallet,0,43,Premium,199,1
8,2,Card,1,42,Free,199,0
7,11,UPI,0,42,Premium,99,1
18,11,Card,0,38,Free,199,0
8,8,Wallet,0,11,Free,199,0
1,14,Card,0,47,Free,199,1
11,13,Card,3,4,Free,199,1
18,2,Wallet,0,1,Basic,199,1
23,12,Card,2,53,Premium,199,1
10,7,UPI,3,15,Basic,99,1
3,9,Wallet,1,54,Basic,99,0
7,6,UPI,0,29,Basic,99,0
16,8,COD,0,46,Free,199,1
16,9,UPI,0,42,Free,299,1
20,7,UPI,0,60,Free,199,1
17,8,Wallet,0,37,Free,99,0
2,6,UPI,3,44,Free,199,1
1,7,Wallet,2,50,Free,299,1
16,10,Wallet,2,41,Free,299,0
12,9,Wallet,2,23,Free,199,0
5,9,COD,0,50,Premium,299,1
5,2,UPI,0,29,Free,99,1
23,6,Wallet,0,36,Basic,99,0
9,9,UPI,1,56,Basic,99,0
9,4,UPI,0,58,Basic,199,1
3,13,Wallet,1,52,Free,99,1
19,8,UPI,0,38,Free,199,0
16,11,Card,0,10,Free,199,0
16,6,Card,1,13,Free,99,0
3,8,Card,0,22,Free,299,0
20,7,COD,0,52,Basic,99,0
24,11,UPI,2,15,Basic,99,0
22,8,Card,0,49,Basic,199,0
24,11,Wallet,1,20,Basic,99,0
1,2,Card,0,54,Free,199,1
24,5,UPI,2,54,Premium,299,0
20,5,Card,3,3,Free,299,1
11,6,UPI,0,32,Basic,299,0
17,12,UPI,1,53,Basic,99,0
8,5,Wallet,2,60,Basic,199,0
4,7,Card,1,46,Free,99,1
6,7,COD,2,13,Basic,99,0
8,13,Wallet,1,18,Free,99,0
20,9,Card,1,58,Free,99,0
3,8,UPI,0,4,Free,299,1
16,8,UPI,1,35,Free,99,0
3,4,UPI,0,30,Basic,199,1
18,10,COD,0,44,Premium,199,0
14,13,UPI,0,17,Free,199,0
18,6,UPI,3,43,Premium,299,1
2,9,Card,1,30,Premium,99,0
22,9,UPI,1,54,Premium,199,0
3,9,UPI,0,29,Premium,199,1
16,3,Card,1,20,Free,99,0
9,8,UPI,2,46,Free,199,0
4,9,UPI,0,29,Basic,299,0
1,7,UPI,2,54,Basic,99,1
4,6,Wallet,0,40,Premium,99,0
1,4,Card,1,3,Premium,99,0
14,16,UPI,0,4,Basic,199,0
21,11,Card,0,40,Free,199,0
16,9,UPI,4,44,Free,199,1
20,7,COD,0,9,Free,199,0
24,13,UPI,1,26,Basic,299,0
8,4,Card,1,15,Basic,199,0
7,10,Wallet,0,29,Premium,299,0
3,8,Wallet,2,12,Basic,299,0
17,8,UPI,1,35,Premium,199,0
1,5,UPI,0,20,Basic,199,1
16,9,Wallet,1,44,Premium,299,1
12,5,UPI,1,52,Free,299,0
19,6,Wallet,1,39,Premium,99,0
22,8,Wallet,0,44,Basic,99,1
23,5,Wallet,0,14,Free,299,0
22,13,UPI,2,19,Free,99,0
14,11,Wallet,1,19,Premium,299,0
6,9,Card,0,44,Free,99,0
6,6,Wallet,1,54,Basic,99,0
13,9,UPI,3,58,Free,99,0
19,9,UPI,2,4,Basic,99,0
22,3,UPI,2,53,Premium,99,1
8,7,UPI,3,53,Free,199,1
2,8,Card,2,59,Basic,199,0
21,8,COD,1,31,Premium,299,0
1,7,UPI,1,5,Basic,199,1
15,6,Wallet,0,29,Premium,199,0
1,5,UPI,0,25,Basic,199,0
5,10,UPI,1,36,Free,199,0
16,5,UPI,0,12,Basic,199,0
19,8,UPI,1,28,Basic,99,0
4,8,COD,2,4,Free,99,1
3,8,UPI,0,24,Free,99,1
17,6,Card,2,12,Free,99,0
17,8,Card,2,23,Basic,199,0
12,7,COD,0,30,Premium,99,0
14,10,UPI,0,19,Free,299,0
21,7,UPI,0,54,Basic,299,0
6,8,UPI,2,7,Premium,299,0
3,9,UPI,1,59,Free,299,1
9,8,UPI,0,8,Basic,99,0
5,6,Wallet,1,20,Premium,199,0
24,9,Card,0,50,Premium,99,0
17,7,Card,0,60,Free,299,1
14,8,Card,0,19,Free,299,0
21,11,UPI,2,14,Free,299,0
3,7,UPI,0,25,Basic,199,1
1,9,COD,2,53,Basic,199,1
20,8,Wallet,0,41,Basic,99,0
21,6,Wallet,2,10,Free,99,0
23,6,Wallet,1,36,Free,199,0
1,14,UPI,1,40,Basic,199,1
3,12,UPI,1,60,Basic,299,1
18,5,UPI,0,10,Basic,99,0
10,12,UPI,0,26,Basic,299,0
22,8,UPI,1,29,Free,199,0
3,7,Card,0,18,Free,299,1
8,4,Card,0,33,Free,299,0
14,5,Wallet,1,37,Free,299,0
24,5,Wallet,0,60,Free,99,1
18,4,COD,0,22,Free,299,0
15,7,UPI,2,52,Free,99,1
22,9,UPI,2,0,Free,99,0
23,7,Card,1,2,Basic,199,0
2,6,UPI,0,2,Free,299,1
10,7,UPI,1,27,Basic,199,0
2,4,UPI,0,13,Basic,299,1
17,9,UPI,0,51,Basic,199,0
8,10,Card,1,29,Premium,99,0
1,11,UPI,2,57,Free,299,1
9,11,Card,0,53,Basic,99,0
11,8,Card,1,4,Premium,299,0
22,10,UPI,0,48,Premium,99,0
16,9,UPI,0,14,Free,199,0
7,8,UPI,1,37,Free,199,0
10,3,UPI,0,13,Free,99,0
23,5,Wallet,0,13,Basic,99,0
3,7,Wallet,0,56,Basic,99,1
18,7,Card,2,58,Free,99,0
24,8,UPI,0,48,Basic,99,0
13,5,Card,0,7,Basic,199,0
7,7,Card,1,7,Basic,199,0
4,7,Card,1,18,Premium,199,1
13,7,Card,1,31,Basic,299,0
20,7,Card,0,30,Free,199,0
1,10,Card,1,28,Basic,199,1
8,7,Wallet,0,40,Free,199,0
14,9,UPI,1,10,Basic,199,0
16,7,Wallet,0,44,Premium,199,1
14,5,UPI,0,12,Premium,99,0
12,8,UPI,1,26,Basic,299,0
19,12,COD,1,55,Free,199,1
23,4,COD,0,18,Free,99,1
15,9,UPI,0,25,Basic,199,0
2,7,UPI,1,52,Free,99,0
2,9,UPI,0,50,Basic,99,1
23,10,Card,0,36,Free,99,0
22,6,Wallet,1,47,Free,199,0
19,11,COD,1,8,Free,199,0
22,6,Card,0,27,Premium,299,0
22,9,UPI,1,31,Basic,99,0
17,9,Card,3,51,Free,199,1
20,7,UPI,1,53,Free,199,0
10,7,COD,2,2,Basic,99,0
6,8,Wallet,0,50,Free,199,0
15,12,Card,0,31,Basic,99,0
22,7,UPI,1,4,Premium,99,0
11,4,UPI,0,7,Basic,199,0
5,7,UPI,0,13,Basic,199,0
1,7,Wallet,1,55,Basic,99,1
8,7,Card,1,2,Premium,99,0
21,5,UPI,2,23,Premium,99,0
12,7,Card,1,12,Basic,99,0
12,6,Wallet,0,42,Free,99,1
5,7,UPI,1,28,Basic,99,1
7,7,Wallet,0,7,Free,199,0
4,11,Wallet,0,50,Basic,199,1
6,10,COD,0,41,Basic,199,0
13,8,UPI,1,30,Free,199,0
20,11,UPI,2,60,Free,99,0
15,7,UPI,0,25,Basic,99,0
3,11,UPI,1,17,Premium,299,1
23,4,UPI,0,57,Basic,99,1
8,6,Card,0,17,Basic,99,0
20,8,Card,2,56,Free,99,1
16,12,Wallet,0,6,Basic,199,0
13,6,UPI,2,47,Basic,199,1
18,6,Card,1,37,Basic,299,0
10,8,Wallet,1,47,Free,299,0
19,10,Wallet,0,15,Basic,199,0
17,9,Wallet,1,54,Free,99,0
24,13,Wallet,1,55,Free,99,1
19,8,COD,2,59,Premium,99,0
23,11,UPI,1,32,Free,99,0
5,10,Card,1,55,Free,99,0
21,11,UPI,1,50,Basic,99,0
23,13,UPI,0,2,Premium,99,0
9,6,UPI,0,37,Basic,99,0
12,12,UPI,0,3,Basic,299,0
21,7,UPI,2,35,Premium,199,0
1,9,UPI,0,3,Free,299,0
1,5,UPI,1,41,Free,99,1
15,8,COD,2,8,Free,199,0
2,10,UPI,0,39,Premium,99,1
22,9,Wallet,0,50,Free,99,0
16,2,UPI,1,16,Free,99,0
8,8,COD,1,16,Basic,299,0
13,7,Wallet,2,32,Basic,299,0
21,4,Card,1,19,Basic,99,1
1,8,Card,1,13,Basic,99,0
16,13,UPI,0,21,Free,199,0
7,5,COD,2,51,Basic,99,0
5,4,Wallet,1,26,Basic,99,1
22,9,Wallet,0,42,Premium,99,0
23,4,Card,0,2,Free,199,0
3,6,UPI,0,23,Premium,99,1
12,8,Wallet,0,29,Basic,99,0
16,11,UPI,0,7,Free,99,0
19,8,Card,0,21,Basic,199,0
5,4,UPI,0,24,Free,299,1
22,6,COD,1,59,Premium,99,1
14,9,UPI,1,9,Premium,299,0
5,9,UPI,1,48,Free,299,1
15,6,Card,2,28,Free,299,0
17,10,Wallet,0,39,Free,199,0
14,6,Card,0,53,Free,199,0
20,4,UPI,1,0,Free,299,0
5,4,UPI,1,51,Free,99,1
12,8,Wallet,2,20,Basic,199,0
16,9,COD,1,38,Free,299,0
16,10,Wallet,2,23,Premium,199,0
21,13,Card,1,8,Premium,299,0
7,11,COD,1,59,Basic,199,0
4,8,UPI,0,43,Premium,299,1
1,11,Card,1,53,Free,199,1
5,1,Card,1,25,Free,199,1
23,14,UPI,0,8,Basic,199,0
10,10,Wallet,1,19,Basic,299,0
22,9,Card,1,55,Basic,299,0
5,10,UPI,0,34,Premium,299,1
4,6,UPI,1,35,Premium,199,1
2,12,UPI,0,41,Basic,99,0
20,6,Card,0,35,Basic,99,0
10,11,UPI,2,53,Free,299,1
19,7,UPI,0,8,Free,199,0
1,7,Card,1,21,Basic,99,0
24,7,Card,1,0,Basic,99,0
5,3,Wallet,0,4,Basic,299,0
13,5,Card,1,8,Free,299,0
4,7,Wallet,1,36,Basic,299,0
16,14,COD,0,37,Free,199,0
24,9,Wallet,1,18,Basic,99,0
16,4,Card,1,7,Free,99,1
23,12,UPI,1,41,Free,99,0
2,9,COD,0,42,Free,299,0
17,5,UPI,2,31,Free,99,0
20,5,UPI,1,12,Premium,199,0
24,7,UPI,0,19,Free,199,0
12,13,UPI,0,35,Free,199,0
18,10,COD,0,42,Basic,299,0
3,10,Card,0,43,Basic,99,0
1,5,Card,1,36,Free,199,0
1,7,Card,1,29,Free,99,1
19,5,Card,0,9,Premium,99,0
11,11,UPI,1,30,Basic,199,0
5,7,Card,1,24,Free,99,1
12,9,Wallet,0,28,Basic,199,0
3,7,UPI,0,23,Free,199,1
1,8,Wallet,1,38,Free,99,0
1,6,UPI,2,20,Basic,99,1
8,2,UPI,2,40,Premium,199,0
10,6,UPI,0,8,Free,299,0
11,6,UPI,0,41,Premium,199,0
12,12,Wallet,0,41,Free,199,1
13,5,Wallet,0,1,Free,199,0
12,5,UPI,2,3,Free,199,0
14,6,Card,2,7,Free,99,0
2,6,Wallet,0,31,Premium,199,1
19,9,UPI,2,60,Basic,199,1
18,12,UPI,0,13,Free,199,0
3,10,COD,0,48,Premium,199,1
23,5,Card,0,12,Premium,299,0
17,10,COD,1,20,Basic,99,0
8,12,UPI,0,23,Premium,299,0
10,4,Wallet,2,49,Free,199,0
2,8,UPI,1,17,Premium,199,0
19,8,UPI,1,44,Basic,99,1
9,7,Card,0,39,Premium,99,0
7,6,UPI,2,25,Basic,199,0
4,6,UPI,1,31,Free,199,1
21,8,UPI,1,43,Basic,99,0
18,9,UPI,1,56,Free,199,1
13,11,Wallet,1,54,Free,99,0
11,11,Card,2,55,Free,299,0
24,6,UPI,1,52,Premium,299,1
4,8,UPI,2,32,Free,99,0
21,10,UPI,1,51,Basic,299,1
4,6,Card,2,30,Free,299,0
10,7,UPI,1,17,Premium,99,0
5,6,Wallet,0,34,Free,199,1
9,8,UPI,1,11,Basic,199,0
24,8,UPI,1,50,Premium,199,1
3,13,Wallet,0,24,Basic,99,0
17,5,Wallet,1,44,Free,99,1
3,9,UPI,1,30,Basic,199,0
16,8,Wallet,0,9,Premium,99,0
4,11,Card,0,46,Basic,299,1
18,7,Wallet,0,51,Free,99,0
17,8,Card,1,33,Premium,199,0
7,4,Card,2,50,Free,299,1
24,7,COD,1,2,Basic,199,0
23,8,UPI,0,45,Premium,199,0
5,12,Card,2,38,Free,299,0
12,8,Card,1,7,Basic,299,0
17,7,UPI,0,60,Basic,99,0
23,9,UPI,2,31,Premium,199,0
13,9,UPI,1,42,Free,299,0
23,10,Card,0,28,Basic,99,0
3,4,Card,2,21,Premium,99,1
9,5,Card,0,19,Free,99,0
17,10,UPI,0,5,Free,99,0
17,13,Card,1,60,Premium,199,0
20,13,COD,3,42,Free,199,1
16,7,UPI,1,48,Premium,299,0
22,8,Card,0,28,Free,199,0
13,6,Wallet,0,41,Free,99,0
19,10,Wallet,0,55,Basic,99,0
17,8,Card,1,16,Basic,299,0
4,5,Wallet,0,30,Basic,99,1
12,10,UPI,1,52,Basic,99,1
9,13,Wallet,1,33,Premium,299,0
19,3,UPI,0,37,Free,199,1
12,10,UPI,1,56,Basic,99,1
9,1,UPI,1,36,Free,299,0
7,5,Wallet,0,3,Basic,299,0
14,10,UPI,0,1,Free,99,0
20,13,UPI,0,11,Free,299,0
19,11,UPI,0,34,Basic,99,0
15,6,COD,1,5,Free,199,0
16,9,Wallet,0,55,Free,299,1
21,11,Card,0,45,Basic,299,0
5,8,Card,4,7,Basic,99,0
3,6,Card,0,20,Premium,99,0
12,4,UPI,1,52,Basic,99,0
20,10,COD,1,57,Free,199,0
21,13,UPI,2,45,Basic,99,0
4,6,UPI,1,60,Free,199,0
21,6,UPI,0,34,Basic,99,0
23,8,Card,0,47,Premium,199,1
16,8,Card,0,14,Basic,99,0
7,10,Card,0,6,Basic,299,0
13,7,UPI,1,14,Free,99,0
21,8,Card,1,44,Basic,99,0
10,8,UPI,0,5,Premium,299,0
7,13,UPI,4,46,Free,199,1
14,8,UPI,0,16,Free,99,0
5,6,Wallet,3,3,Basic,99,1
3,9,UPI,1,21,Basic,199,0
23,6,Card,2,31,Free,99,0
11,7,Wallet,0,58,Premium,199,0
11,6,Card,0,21,Free,199,0
18,12,Card,0,26,Free,99,0
15,4,UPI,0,45,Basic,199,0
12,7,UPI,1,14,Free,199,0
9,6,Card,0,59,Basic,299,0
10,10,Card,0,43,Free,99,0
12,3,Wallet,1,50,Free,199,0
17,7,Wallet,0,21,Free,99,0
6,6,UPI,0,27,Premium,199,0
7,7,UPI,0,41,Basic,299,1
14,5,Card,1,37,Basic,99,0
13,10,UPI,1,59,Free,299,0
8,8,UPI,0,56,Basic,199,0
10,6,Wallet,1,8,Basic,299,0
9,7,UPI,1,33,Premium,199,0
18,6,COD,1,35,Basic,99,0
2,14,Wallet,1,8,Basic,99,1
5,9,Wallet,0,14,Free,99,0
5,7,UPI,1,44,Basic,99,1
6,8,UPI,1,19,Basic,199,0
19,8,Card,0,7,Premium,199,0
8,12,UPI,1,57,Free,299,0
16,10,UPI,0,27,Free,199,0
13,11,UPI,0,50,Basic,199,0
1,9,UPI,3,18,Free,299,0
22,5,UPI,2,56,Free,299,0
20,6,Wallet,1,15,Premium,99,0
17,8,UPI,0,10,Basic,199,0
7,6,UPI,0,41,Premium,99,0
13,10,Card,0,7,Premium,99,0
4,10,COD,1,32,Free,99,1
4,7,UPI,0,9,Basic,299,0
6,8,UPI,0,17,Free,199,0
19,12,Card,1,34,Premium,199,0
12,8,COD,1,42,Basic,299,0
22,8,Wallet,0,49,Free,99,1
7,12,Card,0,2,Free,199,0
10,5,UPI,1,39,Basic,199,0
19,6,Card,0,26,Free,99,0
7,9,UPI,1,58,Free,199,0
3,8,Card,0,27,Basic,99,1
13,13,Wallet,1,45,Premium,299,0
13,5,COD,1,5,Free,99,0
18,8,UPI,2,46,Basic,99,0
20,4,UPI,0,13,Premium,199,0
8,3,Card,0,6,Free,99,0
9,13,Wallet,0,9,Premium,99,0
7,6,Wallet,2,14,Free,199,0
1,7,UPI,0,30,Basic,99,1
3,10,UPI,0,28,Basic,199,1
13,7,Card,0,41,Basic,199,0
17,8,UPI,0,53,Premium,199,0
24,8,Wallet,2,16,Free,199,0
1,7,Card,0,58,Free,99,1
6,8,Wallet,0,50,Basic,99,0
21,8,Card,1,28,Premium,199,0
6,9,Wallet,2,48,Free,299,0
12,6,UPI,1,43,Premium,99,0
13,8,Wallet,1,14,Free,199,0
13,11,UPI,0,25,Free,199,0
15,12,Card,1,11,Basic,199,0
21,7,UPI,0,24,Free,199,0
16,9,Card,0,60,Basic,99,1
22,6,UPI,0,40,Free,199,0
21,9,UPI,0,4,Free,99,0
11,5,COD,0,3,Basic,199,0
5,13,UPI,0,43,Basic,299,1
4,12,Wallet,0,47,Basic,199,1
3,8,COD,1,40,Basic,99,0
19,8,UPI,0,56,Free,299,0
20,5,Card,2,30,Basic,299,0
18,9,UPI,0,2,Premium,199,0
15,3,UPI,1,52,Premium,199,1
9,8,UPI,2,2,Free,99,0
17,10,COD,2,25,Free,299,0
14,8,UPI,2,49,Premium,199,1
15,13,Card,1,16,Basic,299,0
1,3,Card,1,59,Basic,99,1
21,9,Wallet,0,9,Basic,99,0
22,4,UPI,1,1,Free,299,0
22,12,Card,0,23,Basic,199,0
3,8,Card,0,10,Premium,99,1
16,6,Card,0,23,Basic,99,0
23,8,COD,0,34,Free,199,0
11,8,Wallet,2,22,Free,99,0
12,7,UPI,1,31,Free,199,0
10,9,Card,0,22,Basic,199,0
16,9,UPI,0,33,Free,199,0
8,6,UPI,2,40,Free,99,0
6,5,Card,0,18,Premium,299,0
12,7,UPI,0,1,Free,99,0
24,8,UPI,1,59,Free,199,0
21,8,COD,0,50,Free,99,0
8,7,UPI,1,1,Free,199,0
4,8,COD,2,14,Basic,299,1
8,5,Card,2,55,Premium,299,1
18,12,Card,0,20,Premium,199,0
5,7,Wallet,1,34,Basic,199,0
9,10,UPI,0,4,Basic,299,0
4,5,UPI,1,42,Basic,299,1
22,8,UPI,2,26,Free,299,0
17,6,UPI,0,23,Free,99,0
9,6,COD,2,6,Premium,299,0
1,11,Wallet,0,5,Free,99,0
21,10,UPI,0,45,Free,99,1
20,9,UPI,2,60,Basic,99,0
13,9,UPI,1,32,Basic,99,0
16,9,UPI,2,57,Free,199,0
